"roakIdno";"nazev";"katedra";"predmet";"statut";"ucitIdno";"ucitIdno.ucitel";"jmeno.ucitel";"prijmeni.ucitel";"titulPred.ucitel";"titulZa.ucitel";"platnost.ucitel";"zamestnanec.ucitel";"podilNaVyuce.ucitel";"rok";"budova";"mistnost";"kapacitaMistnosti";"planObsazeni";"obsazeni";"typAkce";"typAkceZkr";"semestr";"platnost";"den";"denZkr";"vyucJazyk";"hodinaOd";"hodinaDo";"pocetVyucHodin";"hodinaSkutOd";"hodinaSkutDo";"tydenOd";"tydenDo";"tyden";"tydenZkr";"grupIdno";"jeNadrazena";"maNadrazenou";"kontakt";"krouzky";"casovaRada";"datum";"datumOd";"datumDo";"druhAkce";"vsichniUciteleUcitIdno";"vsichniUciteleJmenaTituly";"vsichniUciteleJmenaTitulySPodily";"vsichniUcitelePrijmeni";"referencedIdno";"poznamkaRozvrhare";"nekonaSe";"owner";"zakazaneAkce"
"446684";"Poèítaèové sítì";"KI";"PSI";"";"2776";"2776";"Jan";"Krejèí";"RNDr.";"Ph.D.";"A";"A";"100";"2022";"CP";"7.07";"12";"12";"3";"Pøednáška";"Pø";"ZS";"A";"Pondìlí";"Po";"";"2";"3";"2";"08:00";"09:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"3.IS";"UJEP";"";"3.10.2022";"2.1.2023";"R";"2776";"RNDr. Jan Krejèí, Ph.D.";"'RNDr. Jan Krejèí, Ph.D.' (100)";"Krejèí";"446684";"";"";"PETRUSPRF";""
"447175";"Algoritmizace a programování I";"KI";"APR1";"";"6973";"6973";"Pavel";"Beránek";"Ing. Mgr.";"";"A";"A";"100";"2022";"CP";"6.13";"30";"36";"36";"Cvièení";"Cv";"ZS";"A";"Pondìlí";"Po";"";"3";"4";"2";"09:00";"10:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"1.AJ INF,1.API Bc,1.CHE INF,1.FY INF,1.GEO INF,1.INF AJ,1.INF CHE,1.INF FY,1.INF GEO,1.INF Hi,1.INF TV,1.INF VV,1.INF ÈJ,1.MvFVS,1.TV INF";"UJEP";"";"3.10.2022";"2.1.2023";"R";"6973";"Ing. Mgr. Pavel Beránek";"'Ing. Mgr. Pavel Beránek' (100)";"Beránek";"447175";"";"";"PETRUSPRF";""
"446685";"Poèítaèové sítì";"KI";"PSI";"";"2776";"2776";"Jan";"Krejèí";"RNDr.";"Ph.D.";"A";"A";"100";"2022";"CP";"7.07";"12";"12";"3";"Cvièení";"Cv";"ZS";"A";"Pondìlí";"Po";"";"4";"5";"2";"10:00";"11:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"3.IS";"UJEP";"";"3.10.2022";"2.1.2023";"R";"2776";"RNDr. Jan Krejèí, Ph.D.";"'RNDr. Jan Krejèí, Ph.D.' (100)";"Krejèí";"446685";"";"";"PETRUSPRF";""
"446520";"Poèítaèové zpracování signálu";"KI";"PZS";"";"3521";"3521";"Zbyšek";"Posel";"RNDr.";"Ph.D.";"A";"A";"100";"2022";"CP";"6.14";"31";"30";"12";"Semináø";"Se";"ZS";"A";"Pondìlí";"Po";"";"6";"7";"2";"12:00";"13:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"2.API Bc,2.MvFVS";"UJEP";"";"3.10.2022";"2.1.2023";"R";"3521";"RNDr. Zbyšek Posel, Ph.D.";"'RNDr. Zbyšek Posel, Ph.D.' (100)";"Posel";"446520";"";"24.10.2022: Odpadá,14.11.2022: Odpadá,19.12.2022: Odpadá";"PETRUSPRF";""
"446531";"Diplomový semináø I";"KI";"DIPL1";"";"2220";"2220";"Jiøí";"Škvor";"RNDr.";"Ph.D.";"A";"A";"100";"2022";"CP";"6.13";"30";"30";"15";"Semináø";"Se";"ZS";"A";"Pondìlí";"Po";"";"7";"7";"1";"13:00";"13:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"3.IS";"UJEP";"";"3.10.2022";"2.1.2023";"R";"2220";"RNDr. Jiøí Škvor, Ph.D.";"'RNDr. Jiøí Škvor, Ph.D.' (100)";"Škvor";"446531";"";"";"PETRUSPRF";""
"446500";"Základy poèítaèových sítí a protokolù";"KI";"ZPS";"";"2776";"2776";"Jan";"Krejèí";"RNDr.";"Ph.D.";"A";"A";"100";"2022";"MF";"01.54";"315";"180";"170";"Pøednáška";"Pø";"ZS";"A";"Pondìlí";"Po";"";"7";"8";"2";"13:00";"14:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"1.API Bc";"UJEP";"";"3.10.2022";"2.1.2023";"R";"2776";"RNDr. Jan Krejèí, Ph.D.";"'RNDr. Jan Krejèí, Ph.D.' (100)";"Krejèí";"446500";"";"";"PETRUSPRF";""
"446519";"Didaktika programování";"KI";"DPG";"";"1165";"1165";"Kamil";"Balín";"Mgr.";"";"A";"A";"100";"2022";"CP";"7.06";"24";"20";"14";"Semináø";"Se";"ZS";"A";"Pondìlí";"Po";"";"8";"9";"2";"14:00";"15:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"2.API Bc,3.IS,3.MA INF";"UJEP";"";"3.10.2022";"2.1.2023";"R";"1165";"Mgr. Kamil Balín";"'Mgr. Kamil Balín' (100)";"Balín";"446519";"";"17.10.2022: Odpadá";"PETRUSPRF";""
"446657";"NoSQL databázové systémy";"KI";"NSQL";"";"6973";"6973";"Pavel";"Beránek";"Ing. Mgr.";"";"A";"A";"100";"2022";"CP";"6.14";"31";"30";"27";"Cvièení";"Cv";"ZS";"A";"Pondìlí";"Po";"";"8";"8";"1";"14:00";"14:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"2.API Bc,2.MvFVS,3.IS";"UJEP";"";"3.10.2022";"2.1.2023";"R";"6973";"Ing. Mgr. Pavel Beránek";"'Ing. Mgr. Pavel Beránek' (100)";"Beránek";"446657";"";"";"PETRUSPRF";""
"446539";"Datová úložištì a zpracování dat";"KI";"DUL";"";"835";"835";"Kvìtuše";"Sýkorová";"Mgr.";"";"A";"A";"100";"2022";"CP";"6.13";"30";"30";"9";"Cvièení";"Cv";"ZS";"A";"Pondìlí";"Po";"";"9";"11";"3";"15:00";"17:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"3.IS";"UJEP";"";"3.10.2022";"2.1.2023";"R";"835";"Mgr. Kvìtuše Sýkorová";"'Mgr. Kvìtuše Sýkorová' (100)";"Sýkorová";"446539";"";"21.11.2022: Probíhá online (https://gaia.ki.ujep.cz/b/kve-bcb-fdx-u1g)";"PETRUSPRF";""
"446663";"Objektovì orientované návrhové vzory";"KI";"OONV";"";"6973";"6973";"Pavel";"Beránek";"Ing. Mgr.";"";"A";"A";"100";"2022";"CP";"6.14";"31";"30";"24";"Cvièení";"Cv";"ZS";"A";"Pondìlí";"Po";"";"9";"10";"2";"15:00";"16:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"1.INFMASŠ,1.MAINF SŠ,2.API Bc,2.MvFVS";"UJEP";"";"3.10.2022";"2.1.2023";"R";"6973";"Ing. Mgr. Pavel Beránek";"'Ing. Mgr. Pavel Beránek' (100)";"Beránek";"446663";"";"";"PETRUSPRF";""
"451078";"Základy ICT";"KI";"ICTE";"";"2776";"2776";"Jan";"Krejèí";"RNDr.";"Ph.D.";"A";"A";"100";"2022";"CP";"-1.21";"31";"30";"21";"Pøednáška";"Pø";"ZS";"A";"Pondìlí";"Po";"";"10";"10";"1";"16:00";"16:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"1.SPI";"UJEP";"";"3.10.2022";"2.1.2023";"R";"2776";"RNDr. Jan Krejèí, Ph.D.";"'RNDr. Jan Krejèí, Ph.D.' (100)";"Krejèí";"451078";"";"10.10.2022: Odpadá (Praxe),17.10.2022: Odpadá (Praxe),24.10.2022: Odpadá (Praxe),31.10.2022: Odpadá (Praxe)";"PETRUSPRF";""
"446648";"Podnikový management a IS";"KI";"MIS";"";"7352";"7352";"Štìpánka";"Zimová";"Ing.";"";"A";"A";"100";"2022";"MF";"01.54";"315";"20";"1";"Pøednáška";"Pø";"ZS";"A";"Pondìlí";"Po";"";"10";"11";"2";"16:00";"17:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"3.NANO";"UJEP";"";"3.10.2022";"2.1.2023";"R";"7352";"Ing. Štìpánka Zimová";"'Ing. Štìpánka Zimová' (100)";"Zimová";"446648";"";"17.10.2022: Odpadá,28.11.2022: Odpadá";"PETRUSPRF";""
"446499";"Podniková ekonomika";"KI";"PEK";"";"7352";"7352";"Štìpánka";"Zimová";"Ing.";"";"A";"A";"100";"2022";"MF";"01.54";"315";"180";"164";"Pøednáška";"Pø";"ZS";"A";"Pondìlí";"Po";"";"10";"11";"2";"16:00";"17:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"1.API Bc";"UJEP";"";"3.10.2022";"2.1.2023";"R";"7352";"Ing. Štìpánka Zimová";"'Ing. Štìpánka Zimová' (100)";"Zimová";"446499";"";"17.10.2022: Odpadá,28.11.2022: Odpadá";"PETRUSPRF";""
"446702";"Úvod do èíslicových systémù";"KI";"UCS";"";"1780";"1780";"Petr";"Haberzettl";"Ing.";"";"A";"A";"100";"2022";"CP";"7.08";"12";"12";"5";"Semináø";"Se";"ZS";"A";"Pondìlí";"Po";"";"10";"11";"2";"16:00";"17:50";"40";"1";"Každý";"K";"";"N";"N";"Automaticky vygenerovaná apost. akce";"3.IS,3.MA INF";"UJEP";"";"3.10.2022";"2.1.2023";"R";"1780";"Ing. Petr Haberzettl";"'Ing. Petr Haberzettl' (100)";"Haberzettl";"446702";"";"";"PETRUSPRF";""
